127.0.0.1 - - [03/Oct/2024:22:33:33 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/ HTTP/1.1" 200 22910
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/style.css;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/js/shop.js;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/logo-bootstrap-shoping-cart.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/js/jquery.js;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/1.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/%3Cc:url%20value= HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/3.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/2.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/4.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/5.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/maestro.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/6.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/pp.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/mc.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/visa.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/img/disc.png;jsessionid=A9E719E5B05915B35FC6B4B791CC89AF HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [03/Oct/2024:22:33:35 +0700] "GET /DiamonShop/assets/user/assets/img/new.png HTTP/1.1" 404 1047
