127.0.0.1 - - [12/Oct/2024:14:26:41 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/1.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/2.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/d.jpg;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 43015
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/5.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/6.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/maestro.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/3.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/4.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/pp.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/mc.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/visa.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/img/disc.png;jsessionid=4855EC82C769C56D98759B5A823FF36B HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:28:40 +0700] "GET /DiamonShop/assets/user/assets/img/new.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:44 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:44 +0700] "GET /DiamonShop/assets/user/assets/img/new.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/ HTTP/1.1" 200 23176
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/style.css;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/img/paypal.jpg;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 28395
